Date,Name,Year,Letterboxd URI,Rating
2018-03-12,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4.5
2018-03-12,"I, Tonya",2017,https://boxd.it/dzR0,4.5
2018-03-12,Mean Streets,1973,https://boxd.it/2aSU,3
2018-03-12,The Beguiled,2017,https://boxd.it/dZ1k,3.5
2018-03-12,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2018-03-12,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3
2018-03-12,Killers,2010,https://boxd.it/17qQ,2.5
2018-03-12,Gaga: Five Foot Two,2017,https://boxd.it/gWwK,3.5
2018-03-12,Love Me If You Dare,2003,https://boxd.it/20bm,1
2018-03-12,Singin' in the Rain,1952,https://boxd.it/29oY,4
2018-03-12,The Founder,2016,https://boxd.it/9XwM,3.5
2018-03-12,The Sound of Music,1965,https://boxd.it/1MLK,5
2018-03-12,Made of Honor,2008,https://boxd.it/1VsC,1.5
2018-03-12,Man Up,2015,https://boxd.it/aWkW,3.5
2018-03-12,The Dressmaker,2015,https://boxd.it/9sZy,3
2018-03-12,Vertigo,1958,https://boxd.it/2apI,3.5
2018-03-12,Deadpool,2016,https://boxd.it/9fOC,4
2018-03-12,Meet Joe Black,1998,https://boxd.it/2aEI,3.5
2018-03-12,The 40 Year Old Virgin,2005,https://boxd.it/21hK,1
2018-03-12,Drinking Buddies,2013,https://boxd.it/5jhk,1.5
2018-03-12,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2018-03-12,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2018-03-12,Piper,2016,https://boxd.it/dZaG,5
2018-03-12,Top Gun,1986,https://boxd.it/29JC,4
2018-03-12,Molly's Game,2017,https://boxd.it/dSl8,3.5
2018-03-12,Comet,2014,https://boxd.it/8r08,4.5
2018-03-20,The Lives of Others,2006,https://boxd.it/2a4A,4
2018-03-27,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,2.5
2018-03-30,Sweet Home Alabama,2002,https://boxd.it/1TDo,4
2018-04-01,Bridesmaids,2011,https://boxd.it/rac,3
2018-04-12,Annihilation,2018,https://boxd.it/9yzm,3
2018-04-16,Casino Royale,2006,https://boxd.it/1alk,3.5
2018-04-25,Julie & Julia,2009,https://boxd.it/1wXg,4.5
2018-04-29,Mystic River,2003,https://boxd.it/2aAG,3.5
2018-04-30,Meet the Parents,2000,https://boxd.it/28vE,3
2018-05-05,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2018-05-06,Did You Hear About the Morgans?,2009,https://boxd.it/1xEY,3.5
2018-05-14,Ingrid Goes West,2017,https://boxd.it/evUQ,3
2018-05-16,Legally Blonde,2001,https://boxd.it/1ZNa,5
2018-05-21,The Kissing Booth,2018,https://boxd.it/geR0,3
2018-05-25,The Wedding Date,2005,https://boxd.it/21h6,3
2018-05-25,Dirty Dancing,1987,https://boxd.it/2baY,4
2018-05-26,Deadpool 2,2018,https://boxd.it/dlLM,5
2018-05-28,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3
2018-05-29,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,3.5
2018-05-30,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2018-06-01,Mamma Mia!,2008,https://boxd.it/1Tnq,5
2018-06-02,Almost Famous,2000,https://boxd.it/29CQ,4.5
2018-06-03,Red Sparrow,2018,https://boxd.it/e7Pi,3.5
2018-06-04,Avatar,2009,https://boxd.it/1Efm,0.5
